id,States_Union Territories,2000-01-INC,2011-12-INC,2001 - LIT,2011- LIT,2001 - POP,2011- POP,2001 -SEX_Ratio,2011 -SEX_Ratio,2001 -UNEMP,2011 -UNEMP,2001 -Poverty,2011 -Poverty,2011_Cotton_production,2011_Milk_production,Tea_production,Rice_production0,Rice_production1,2011_CHILD_SEX,BIRTH_SEX_PAST5_2016,BIRTH_SEX_PAST5_2021,2011_Rainfall
1,Andaman and Nicobar,25047,89642,81.3,86.63,356,381,846,876,34,54,20.99,1,,26,,,,968,859,914,2967
2,Andhra Pradesh,17195,64773,60.47,67.02,76210,84581,978,993,8,12,15.77,9.2,1367.4,12088,,3035,3302,939,914,934,2735
3,Arunachal Pradesh,15260,71366,54.34,65.39,1098,1384,893,938,5,17,33.47,34.67,,22,,1925,2065,972,926,979,2782
4,Assam,12803,36320,63.25,72.19,26656,31206,935,958,39,45,36.09,31.98,,796,675.17,1843,1780,962,929,964,2818
5,Bihar,6415,22582,47,61.8,82999,104099,919,918,18,32,42.6,33.74,,6643,,1095,2155,935,934,908,2512
6,Chandigarh,49771,136883,81.94,86.05,901,1055,777,818,7,24,5.75,21.81,,45,,,,880,981,838,617
7,Chhattisgarh,10744,48366,64.66,70.28,20834,25545,989,991,16,8,30,39.93,,1119,,1663,1597,969,977,960,1302.7
10,Delhi,40678,161446,57.63,76.24,13851,16788,821,868,47,78,8.23,9.91,,502,,2787,2885,871,,,617
11,Goa,43735,211570,78.18,87.1,1348,1459,961,973,93,51,4.4,5.09,,60,,2467,2577,942,966,838,3005
12,Gujarat,18392,85979,81.67,86.21,50671,60440,920,919,4,3,14.07,16.63,12000,9817,,1852,2141,890,906,955,1685
13,Haryana,25583,106320,82.01,88.7,21145,25351,861,879,8,24,8.74,11.16,2650,6661,,2789,3044,834,836,893,617
14,Himachal Pradesh,22795,75185,69.14,78.03,6078,6865,968,972,12,10,7.63,8.06,,1120,,1673,1705,909,937,875,1251
15,Jammu and Kashmir,14268,46734,67.91,75.55,10144,12541,892,889,11,25,3.48,10.35,,1614,,1942,2078,862,923,976,1011
16,Jharkhand,10345,36554,76.48,82.8,26946,32988,941,948,20,21,32,36.96,,1745,,1541,2131,948,919,899,
17,Karnataka,18344,68053,55.52,67.16,52851,61095,965,973,7,9,20.04,20.91,1200,5447,5.4,2719,5795,948,910,978,5313
18,Kerala,20094,82753,53.56,66.41,31841,33406,1058,1084,82,68,12.72,7.05,,2716,62.35,2452,2733,964,1047,951,3055
20,Madhya Pradesh,11862,37180,66.6,75.37,60348,72627,919,931,5,4,37.43,31.65,2000,8149,,1106,1340,918,927,956,2355
21,Maharashtra,22777,93282,90.86,94,96879,112374,922,929,14,7,25.02,17.35,7200,8469,,1776,1841,894,924,913,5822
22,Manipur,12369,33695,86.66,91.85,2294,2856,978,992,19,26,28.54,36.89,,79,,2453,2642,936,962,967,1881
23,Meghalaya,15657,50316,63.74,69.32,2319,2967,972,989,4,4,33.87,11.87,,80,,1912,1988,970,1009,989,2818
24,Mizoram,17826,53624,76.88,82.34,889,1097,935,976,9,18,19.47,20.4,,14,,1160,1411,970,949,969,1881
25,Nagaland,16253,63781,70.5,76.9,1990,1979,900,931,24,151,32.67,18.88,,78,,2102,2106,943,953,945,1881
26,Orissa,10453,43463,62.56,74.43,36805,41974,972,979,19,22,47.15,32.59,325,1721,,1616,1450,941,932,894,1489
27,Puducherry,35994,103149,88.8,91.33,974,1248,1001,1037,40,8,21.67,9.69,,45,,2596,2538,967,843,959,998
28,Punjab,27881,76895,66.59,79.6,24359,27743,876,895,18,19,6.16,8.26,2300,9551,,3828,3741,846,860,904,649
29,Rajasthan,13020,54637,63.08,72.89,56507,68548,921,928,4,7,15.28,14.71,1335,13512,,2025,1886,888,887,891,988
30,Sikkim,16077,130127,81.24,85.85,541,611,875,890,28,10,36.55,8.19,,45,,1727,1730,957,809,969,2739
31,Tamil Nadu,20972,89050,69.65,75.84,62406,72147,987,996,20,20,21.12,11.28,450,6968,166.9,3040,3918,943,954,878,998
32,Telangana,17195,64773,60.47,67.02,76210,84581,978,993,8,12,15.77,9.2,1367.4,12088,,3035,3302,939,872,894,2735
33,Tripura,15983,50859,68.81,81.42,3199,3674,948,960,12,105,34.44,14.05,,111,,2655,2700,957,969,1028,1881
34,Uttar Pradesh,9828,30021,73.45,80.09,166198,199812,898,912,8,9,31.15,29.43,,22556,,2120,2358,902,903,941,3588
35,Uttaranchal,15285,85372,73.19,87.22,8489,10086,962,963,22,25,10.56,11.26,,1417,,1901,2121,890,888,984,
36,West Bengal,16583,53383,56.27,67.68,80176,91276,934,950,28,27,27.02,19.98,,4672,,2639,2688,956,960,973,4178
