id,States_Union Territories,2011 -SEX_Ratio,Milk_production
1,Andaman and Nicobar,876,26
2,Andhra Pradesh,993,12088
3,Arunachal Pradesh,938,22
4,Assam,958,796
5,Bihar,918,6643
6,Chandigarh,818,45
7,Chhattisgarh,991,1119
10,Delhi,868,502
11,Goa,973,60
12,Gujarat,919,9817
13,Haryana,879,6661
14,Himachal Pradesh,972,1120
15,Jammu and Kashmir,889,1614
16,Jharkhand,948,1745
17,Karnataka,973,5447
18,Kerala,1084,2716
20,Madhya Pradesh,931,7514
21,Maharashtra,929,8044
22,Manipur,992,78
23,Meghalaya,989,79
24,Mizoram,976,11
25,Nagaland,931,76
26,Orissa,979,1671
27,Puducherry,1037,47
28,Punjab,895,9423
29,Rajasthan,928,13234
30,Sikkim,890,43
31,Tamil Nadu,996,6831
33,Tripura,960,104
34,Uttar Pradesh,912,21031
35,Uttaranchal,963,1383
36,West Bengal,950,4471
